date,COOLANT_TEMP,MAF,THROTTLE_POS,INTAKE_TEMP,TIMING_ADVANCE,ENGINE_LOAD,ELM_VOLTAGE,SPEED,O2_S1_WR_CURRENT,O2_S5_WR_CURRENT,O2_B1S2,O2_B2S2,SHORT_FUEL_TRIM_1,LONG_FUEL_TRIM_1,SHORT_FUEL_TRIM_2,LONG_FUEL_TRIM_2,
2021-08-23_16:34:21.799280,98 degC,53.25 gps,32.15686274509804 percent,36 degC,19.5 degree,77.6470588235294 percent,13.5 volt,93.0 kph,-0.04296875 milliampere,-0.05078125 milliampere,0.445 volt,0.595 volt,-2.34375 percent,3.125 percent,4.6875 percent,-0.78125 percent,
2021-08-23_16:34:22.299283,98 degC,54.75 gps,32.549019607843135 percent,36 degC,16.5 degree,77.6470588235294 percent,13.5 volt,93.0 kph,-0.0859375 milliampere,-0.02734375 milliampere,0.445 volt,0.595 volt,-2.34375 percent,3.125 percent,4.6875 percent,-0.78125 percent,
2021-08-23_16:34:22.799215,98 degC,54.75 gps,32.549019607843135 percent,36 degC,16.5 degree,77.6470588235294 percent,13.5 volt,93.0 kph,-0.0859375 milliampere,-0.02734375 milliampere,0.445 volt,0.535 volt,-3.125 percent,3.125 percent,5.46875 percent,-0.78125 percent,
2021-08-23_16:34:23.299182,98 degC,54.5 gps,32.549019607843135 percent,36 degC,16.5 degree,77.6470588235294 percent,13.5 volt,95.0 kph,-0.03515625 milliampere,-0.01171875 milliampere,0.445 volt,0.56 volt,-3.90625 percent,3.125 percent,4.6875 percent,-0.78125 percent,
2021-08-23_16:34:23.799300,98 degC,53.5 gps,32.549019607843135 percent,36 degC,16.5 degree,77.6470588235294 percent,13.4 volt,95.0 kph,-0.03515625 milliampere,-0.01171875 milliampere,0.445 volt,0.56 volt,-3.90625 percent,3.125 percent,4.6875 percent,-0.78125 percent,
2021-08-23_16:34:24.299307,98 degC,53.5 gps,32.549019607843135 percent,36 degC,16.5 degree,77.6470588235294 percent,13.4 volt,95.0 kph,0.0 milliampere,-0.02734375 milliampere,0.445 volt,0.505 volt,-3.125 percent,3.125 percent,4.6875 percent,-0.78125 percent,
2021-08-23_16:34:24.799302,98 degC,53.5 gps,32.15686274509804 percent,36 degC,16.5 degree,76.86274509803921 percent,13.5 volt,96.0 kph,0.046875 milliampere,0.04296875 milliampere,0.445 volt,0.565 volt,-3.125 percent,3.125 percent,4.6875 percent,-0.78125 percent,
2021-08-23_16:34:25.299585,98 degC,55.0 gps,32.15686274509804 percent,36 degC,16.5 degree,76.86274509803921 percent,13.5 volt,96.0 kph,0.046875 milliampere,0.04296875 milliampere,0.445 volt,0.565 volt,-2.34375 percent,3.125 percent,4.6875 percent,-0.78125 percent,
2021-08-23_16:34:25.799582,98 degC,55.0 gps,32.15686274509804 percent,36 degC,16.5 degree,77.25490196078431 percent,13.5 volt,97.0 kph,0.0234375 milliampere,0.0234375 milliampere,0.445 volt,0.51 volt,-1.5625 percent,3.125 percent,4.6875 percent,-0.78125 percent,
2021-08-23_16:34:26.299534,98 degC,56.75 gps,32.94117647058823 percent,36 degC,16.5 degree,78.03921568627452 percent,13.5 volt,97.0 kph,0.05859375 milliampere,0.0234375 milliampere,0.445 volt,0.51 volt,-1.5625 percent,3.125 percent,4.6875 percent,-0.78125 percent,
2021-08-23_16:34:26.799479,98 degC,56.75 gps,32.94117647058823 percent,36 degC,16.5 degree,78.03921568627452 percent,13.5 volt,97.0 kph,0.05859375 milliampere,-0.0390625 milliampere,0.445 volt,0.49 volt,-2.34375 percent,3.125 percent,5.46875 percent,-0.78125 percent,
2021-08-23_16:34:27.299470,98 degC,53.25 gps,32.549019607843135 percent,36 degC,17.0 degree,77.6470588235294 percent,13.4 volt,98.0 kph,-0.02734375 milliampere,0.03515625 milliampere,0.445 volt,0.475 volt,-2.34375 percent,3.125 percent,5.46875 percent,-0.78125 percent,
